,ID,Job Title,Organization,Division,Openings,Internal Status,City,Level,Applications,App Deadline,Work Term Duration,Job Summary,Job Responsibilities,Required Skills,Targeted Degrees and Disciplines,Application Documents Required
0,219320,"


										Actuarial Assistant
									

",Oliver Wyman,North America,4,Open for Applications,Toronto,Senior,11,"
								Sep 21, 2021
								
							",4 month work term,"Company Overview


The Actuarial Consulting practice of Oliver Wyman is an operating division of the Oliver Wyman Group, a member of the MarshMcLennan Companies (MMC), the foremost employer of actuaries in the world. Oliver Wyman draws on an extensive pool of global capabilities and experience to serve clients worldwide. 

  

Our Actuarial Consulting practice has assisted insurance companies, self-insured corporations, government entities and other organizations with all aspects of managing insurance exposures since 1986. Our highly credentialed actuaries bring to the table wide-ranging expertise and deep knowledge of actuarial science, risk and insurance. With offices throughout North America, we combine a broad perspective with the local connection required to optimally serve our clients' business needs. 

  

Oliver Wyman provides a competitive compensation plan and a practice-based Intern Actuarial Study Program. Our flat organizational structure and performance-driven culture allows opportunity for rapid advancement.","Job Description


Oliver Wyman is seeking an Intern to help strengthen its growing North American Life Actuarial Consulting practice. This individual will have the opportunity to join a firm with an aggressive growth mission. Additionally, the Intern will have the ability to work alongside well-known, senior-level consultants and gain broad industry exposure among Oliver Wyman's clients, which include insurance companies, reinsurance companies, investment banks, law firms, regulators, and private equity firms. 

  

Projects include but are not limited to the following:

Insurance mergers & acquisitions - sell-side appraisals and buy-side due diligence
Capital markets transactions - reserve financing (securitization) and reinsurance
Life and annuity product development and financial reporting
Creation and analysis of financial projections
Litigation support
Client and industry presentations and case studies","Qualifications

 Working towards a Bachelor's or Master's degree in Actuarial Science, Mathematics, Statistics, Finance or a related field
 

Commitment to achieving ASA designation
Strong technical knowledge (MS Excel, MS Access or other database software, VBA or another programming language)
Strong written and oral communication skills
Ability to quickly process and learn new concepts","Targeted Clusters
			

		
		
			
				- Theme - Accounting and Financial Auditing
				
			
				- Theme - Finance and Investment 
				
			
				MATH - Statistics and Actuarial Science","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
1,222289,"

										NEW
									


										Insurance Solutions Analyst (ATLAS Team)
									

",Oliver Wyman,North America,2,Open for Applications,Toronto,"Junior, Intermediate, Senior",7,"
								Sep 21, 2021
								
							",4 month work term,"About Us


    


  Oliver Wyman is a global leader in management consulting. With offices in 60 cities across 29 countries, Oliver Wyman combines deep industry knowledge with specialized expertise in strategy, operations, risk management, and organization transformation. The firm has more than 5,000 professionals around the world who work with clients to optimize their business, improve their operations and risk profile, and accelerate their organizational performance to seize the most attractive opportunities. Our work is marked by exceptional impact for our clients and we have earned a reputation for quality work and that is why we represent half of the top 500 global companies. 
 

Oliver Wyman is an equal opportunity employer and a wholly owned subsidiary of Marsh & McLennan Companies. 
 
To learn more, please follow us on Facebook, LinkedIn or Twitter: @OliverWyman. 
 
www.oliverwyman.com/careers

  



Oliver Wyman does not offer sponsorship for this position. Upon request candidates must be able to provide documented proof of their right to engage in employment in Canada and to work in the United States due to the nature of our work assignments.","About the Role 


The Analyst (Intern) provides quantitative leverage to clients and consulting teams who are using the solutions to drive key strategic insights out of the analysis 

Potential activities for the Analyst include: 
 

Project Delivery:

Collaborate in multi-disciplinary teams to delivery impactful client projects on various topics including, but not limited to, mergers and acquisitions, risk management, IT system integration, product designs
Synthesize the analysis to communicate business impacts to clients
Participate in client workshops and assignments
Provide technical support, and advise clients using the tool set


Model Design and Implementation:
	 
  
Design financial projection models based on real world product specifications
Provide analytic expertise to consulting teams as the subject matter expert in financial modelling, risk management, as well as the software toolset
Augment project deliverables with models, calculation components, data analysis and data visualization


Application Design and Development:
	 
  
The analyst will be expected to work with clients, consultants and the development team to facilitate the introduction of new features within the software platform. This includes submitting ideas for new features and improvements as well as the operational specification of specific features
The analyst will likely participate in different phases of the software development process (design, implementation, testing, documentation, client communication)
Participate in research projects to investigate and implement new analytic tools, methods and visualization techniques



Successful analysts have come from backgrounds in actuarial science, computer science, financial engineering, operations research, risk management, data analytics and data visualization, to name just a few. In addition to the quantitative skillset, the analyst must be a productive self-starter with very strong communication, organizational, and time management skills in order to thrive in this fast-moving environment. 


The analyst will work with incredibly smart and thoughtful people, while getting experience with a variety of clients. The person will be empowered and have more autonomy in your role than almost anywhere else. At the same time, the person will develop the business skills and acumen to become the next generation of business leaders. 


The team works side by side with senior executives to accelerate execution through a blend of behavioural and management approaches. 


This role is a Specialist (Intern) in the Financial Services practice group of Oliver Wyman. 


This role may require occasional travel.","You should possess the following experience and qualifications:
 

In pursuit of an undergraduate degree (bachelor or equivalent) in the fields of actuarial science, statistics, finance, risk management, mathematics, business administration, science, engineering or similar quantitative fields
Intermediate Microsoft Office skills (Excel/Access/PowerPoint)
Introductory database management skills (data transfer and access, filtering, joining datasets)
Good understanding of financial economics (options and other derivatives), actuarial science and/or statistics, specifically regarding risk neutral valuation
Good understanding of life insurance products and markets
Introductory programming skills (with focus in implementing business logic) in some of the following: Python, R, C# (.net framework and .net core), or C++
Excellent organizational and process management skills
Excellent interpersonal skills; strong oral and written communication skills
The following experience and qualifications would be highly desirable:
Prior experience with the life insurance market, with emphasis in risk management and technologya
Advanced database management skills (data model design, query performance optimization)","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				- Theme - Computing: Software
				
			
				- Theme - Data Analytics, Statistical Analysis and Mathematical Optimization 
				
			
				- Theme - Finance and Investment 
				
			
				- Theme - Insurance and Risk Management 
				
			
				ARTS - Business
				
			
				ARTS - Economics
				
			
				ENG - Software Engineering
				
			
				MATH - Computing and Financial Management
				
			
				MATH - Pure Mathematics
				
			
				MATH - Statistics and Actuarial Science","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
2,222018,"

										NEW
									


										Student, Back-End Developer
									

",OMERS,Toronto Office,2,Open for Applications,Toronto,"Intermediate, Senior",1,"
								Sep 21, 2021
								
							",4 month work term,"Why join us?

Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor? If so, we would love to tell you our story. 

  

At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe.  Our culture is truly one of a kind. We get stuff done, and have fun doing it!  We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets. 


We're seeking a talented Backend Developer Co-op to join our pension technology development team as we develop exciting, interesting pension system related applications. You will be working closely with the architecture and development team under the project's solution architect, as well as more broadly with a cross-functional team to deliver quality and leading-edge digital experience. You'll be able to quickly synthesize business requirements, research and design principles into well-considered applications. You will need to be able to identify and solve problems, explore different design solutions and present best options to the project team members and stakeholders.","As a member of this team, you will be responsible for: 

Consuming and understanding business, functional and technical requirements 
Participating in solution evaluation, developing Proof of Concepts 
Collaborating with other team members to interactively design and develop new applications and features 
Working with technology platforms such as Google Cloud Platform, Java, Node.js and AngularJS 
Developing and maintaining complete end-to-end cross-browser compatible web applications 
Developing technical documents to accurately represent the design and code 
Participating in design review sessions with project teams, acquiring consensus and approval on designs and documentation","To succeed in this role, you have: 

Enrolled in a University or College program in the field of Computer Science, Software Engineering or Mathematics preferred, other University programs in information technology disciplines will be considered 
A strong commitment to collaborative problem-solving and experience working in product development teams an asset 
Experience with Java/Spring Boot, NodeJS 
HTML/CSS, Javascript, AngularJS, JQuery, ReactJS 
Node.js, JEE, Apache, PHP, .Net, Spring 
SQL, Oracle, PostgreSQL, MongoDB, NoSQL 
Web Services (RESTful), XML, JSON 
AWS, Google GCP, Azure, Heroku 
Apache Kafka (Nice-to-Have)
Docker, Kubernetes 
Git/TFS 
UI/UX Design (Nice-to-Have) 
Android/iOS (Nice-to-Have)


IMPORTANT: Application Instructions

To ensure your application is submitted to our applicant tracking system accurately, please follow the instructions below. 

Please include all required documents (Resume, Cover Letter) in one combined file. Your application may be submitted in PDF of Microsoft Word format. 

Please apply using the link provided: Careers - https://omers.wd3.myworkdayjobs.com/OMERS_External/job/Head-Office-Toronto/Student--Backend-Developer--Winter-2022-4-month-Term-_JR-1571","Targeted Clusters
			

		
		
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Computing: Systems Security and Cryptography 
				
			
				- Theme - Data Analytics, Statistical Analysis and Mathematical Optimization 
				
			
				- Theme - Information Science and Data Management 
				
			
				ENG - Software Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
3,222029,"

										NEW
									


										Student, Cloud Solutions Engineering
									

",OMERS,Toronto Office,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",1,"
								Sep 21, 2021
								
							",4 month work term,"Why join us?

Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor?    If so, we would love to tell you our story. 

  

At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe.  Our culture is truly one of a kind. We get stuff done, and have fun doing it!  We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets. 


We are looking for a highly motivated Cloud Solutions Engineer to join our Pension Products & Technology team in Toronto. You will be part of growing a product development team to deliver new and existing products and services for OMERS Pensions. The Products & Technology team is an exciting new team focused on leveraging the newest technologies and approaches to deliver solutions & systems for the modern-day end user.  Our primary focus and commitments are to provide real value and we encourage innovation and empower open-thinking for all our team members.  We're excited for the opportunity to have highly driven and impactful talent join our team! 


In this role, you will create technical solution designs and architectural artifacts for the organization's business solutions that adhere to corporate and industry technical and security best practices. You'll be the engaging with software and devops engineers during the build and deployment phases to ensure the solution adheres to the agreed upon technical design and architectural standards. You will be a key member of an engaged, high-reaching team-part of a world-class, winning culture that prioritizes people development and focuses on long-term growth. We take great pride in leading the industry by earning respect through every interaction, every day. We go above and beyond to protect and grow relationships by anticipating needs, being honest and considerate, and valuing customers as genuine partners.","As a member of this team, you will be responsible for:

Leading cultural change for cloud adoption
Developing and coordinating cloud architecture
Developing a cloud strategy and coordinating the adaptation process
Design & advise to operate at scale
Work closely with the Product Owners and Business SMEs to fully understand solution requirements, identify risks and determine architectural patterns
Creating and maintaining appropriate reference documentation for development teams
Assisting development teams in developing solutions when required
Ensuring technical designs are aligned with technical-long term strategies and properly integrated with the organization's business
Keeping current with industry best practices and recommend new patterns, frameworks and technologies when appropriate. Identify opportunities, risks and constraints to enhance the business solution.

IMPORTANT: Application Instructions

To ensure your application is submitted to our applicant tracking system accurately, please follow the instructions below. 

Please include all required documents (Resume, Unofficial Transcript, etc.) in one combined file. Your application may be submitted in PDF of Microsoft Word format. 


Please apply using the link provided: 

https://omers.wd3.myworkdayjobs.com/OMERS_External/job/Head-Office-Toronto/Student--Cloud-Solutions-Engineer--Winter-2022--4-Months-_JR-1639","To succeed in this role, you have:

Hands-on exposure with major Cloud platform and services (AWS, GCP, Azure)
Excellent analytical and creative problem-solving skills
Excellent listening, interpersonal, written, and oral communication skills
The ability to exercise independent judgment and act/deliver on it
A logical mindset and are efficient, with keen attention to detail
The ability to effectively prioritize and execute tasks while under pressure
Experience working in a team-oriented, collaborative environment
A desire to keep current with latest trends in technology
High self-motivation and can take initiative
Experience with Agile development methodology is an asset
Excellent understanding of solution development lifecycle concepts
Good knowledge of IaaS, PaaS and SaaS concepts

IMPORTANT: Application Instructions

To ensure your application is submitted to our applicant tracking system accurately, please follow the instructions below. 

Please include all required documents (Resume, Unofficial Transcript, etc.) in one combined file. Your application may be submitted in PDF of Microsoft Word format. 


Please apply using the link provided: 

https://omers.wd3.myworkdayjobs.com/OMERS_External/job/Head-Office-Toronto/Student--Cloud-Solutions-Engineer--Winter-2022--4-Months-_JR-1639","Targeted Clusters
			

		
		
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Computing: Systems Security and Cryptography 
				
			
				- Theme - Digital and Graphic Media; Web Site Design and Development","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
4,222039,"

										NEW
									


										Student Analyst, Global Credit (Winter 2022)
									

",OMERS,Toronto Office,2,Open for Applications,Toronto,"Intermediate, Senior",5,"
								Sep 21, 2021
								
							",4 month work term,"Why join us?

Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor?    If so, we would love to tell you our story. 

  

At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe.  Our culture is truly one of a kind. We get stuff done, and have fun doing it!  We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets. 

As a Student Analyst, Global Credit, at OMERS Capital Markets, you'll be part of a high performing team. Our culture is one of a kind. We get stuff done, and have fun doing it. We take great pride in contributing to the communities where we live. As a Student Analyst, Global Credit, at OMERS Capital Markets, you'll be part of a high performing team. Our culture is one of a kind. We get stuff done, and have fun doing it. We take great pride in contributing to the communities where we live.  

  

Credit is a key pillar of OMERS investment strategy, representing approximately 20% of OMERS balance sheet and providing a solid and reliable income stream. Global Credit brings together a team that invests across the capital structure in various industry sectors and geographies, with the goal of selecting strong risk-return investment opportunities.","At OMERS, you can expect:  

- Collaboration with colleagues and leaders who offer diverse experiences and expertise in a supportive environment  

- The opportunity to develop and grow your investment expertise while being a part of an engaged team of investors committed to meeting the pension promise  

- Ongoing learning, mentorship, and networking opportunities  

  

As a member of this team, you will be responsible for: 

- Performing comprehensive financial/non-financial analysis and risk assessment on existing portfolio investments across the investment grade and non-investment grade universe  

- Assisting in prospective public and private credit investment due diligence including bottom-up and relative value analysis across diversified industries  

- Preparing investment pitch decks and investment committee memos  

- Assisting in the creation and monitoring of Excel, Bloomberg and database maintenance for internal reports  

  

To succeed in this role, you have: 

- Currently pursuing an undergraduate degree in Business, Economics or Math  

- Proven track record of strong academic and extracurricular achievements  

- Proficient in Microsoft Office applications, specifically Excel and PowerPoint  

- Excellent analytical skills and a high attention to detail  

- Commitment to learning and intellectual curiosity, with a passion for investing  

- Excellent interpersonal skills, with strong written and verbal communication skills.  

- Ability to work in a fast-paced environment while managing multiple priorities and timelines  

- Strong research, problem-solving and project management skills with a strong work ethic","To succeed in this role, you have: 

- Currently pursuing an undergraduate degree in Business, Economics or Math  

- Proven track record of strong academic and extracurricular achievements  

- Proficient in Microsoft Office applications, specifically Excel and PowerPoint  

- Excellent analytical skills and a high attention to detail  

- Commitment to learning and intellectual curiosity, with a passion for investing  

- Excellent interpersonal skills, with strong written and verbal communication skills.  

- Ability to work in a fast-paced environment while managing multiple priorities and timelines  

- Strong research, problem-solving and project management skills with a strong work ethic","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				ARTS - Economics
				
			
				MATH - Applied Mathematics
				
			
				MATH - Business
				
			
				MATH - Combinatorics and Optimization
				
			
				MATH - Computer Science
				
			
				MATH - Computing and Financial Management
				
			
				MATH - Pure Mathematics
				
			
				MATH - Statistics and Actuarial Science","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
5,222097,"

										NEW
									


										Student Analyst, Portfolio Analytics
									

",OMERS,Toronto Office,1,Open for Applications,Toronto,"Intermediate, Senior",10,"
								Sep 21, 2021
								
							",4 month work term,"Why join us?

Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor?    If so, we would love to tell you our story. 

  

At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe.  Our culture is truly one of a kind. We get stuff done, and have fun doing it!  We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets. 


Are you ready to unleash your potential and join a high-performing team of investment professionals who value hard work, fun and camaraderie? As a Student Analyst, Portfolio Analytics, at OMERS Capital Markets, you will be part of a team of investment professionals that are building a world-class portfolio analytics platform. If you are passionate about data management and analytics and enjoy working with large amounts of data, we want to hear from you!","At OMERS, you can expect:

- Collaboration with colleagues and leaders who offer diverse experiences and expertise in a supportive environment 

- The opportunity to develop and grow your investment expertise while being a part of an engaged team of investors committed to meeting the pension promise 

- Ongoing learning, mentorship and networking opportunities 


As a member of this team, you will be responsible for:

- Develop and implement quantitative analytical tools involving large amounts of data from a wide spectrum of data types 

- Develop tools to help mathematically model an array of security types (bonds, swaps and derivatives) 

- Deliver the analytic result in simple and convenient visualization 

- Work closely with colleagues across Capital Markets, specifically the credit and risk management teams","To succeed in this role, you have:

- Enrolled in an undergraduate or graduate degree program in computer science, math or business 

- Strong academic track record combined with extra-curricular experience 

- Strong programming skills, with experience in Python preferred 

- Intermediate financial modeling skills (regression and numerical solution of differential equations) 

- A creative and enquiring mind 

- Good communication skills, team working ability and integrity 

- Html/SQL experience is an asset","Targeted Clusters
			

		
		
			
				- Theme - Computing: Hardware
				
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Quality Assurance 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Computing: Systems Security and Cryptography 
				
			
				ARTS/MATH - Finance
				
			
				MATH - Applied Mathematics
				
			
				MATH - Business
				
			
				MATH - Computer Science
				
			
				MATH - Computing and Financial Management
				
			
				MATH - Pure Mathematics","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
6,222457,"

										NEW
									


										Student Analyst, Trading
									

",OMERS,Toronto Office,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",9,"
								Sep 21, 2021
								
							",4 month work term,"Why join us?

Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor?    If so, we would love to tell you our story. 

  

At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe.  Our culture is truly one of a kind. We get stuff done, and have fun doing it!  We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets. 

OMERS Capital Markets manages the public markets investment portfolio of bonds, currencies and other interest-bearing assets, as well as publicly traded equities and commodities in Canadian and global financial markets. With a team of approximately 80 dedicated investment professionals, OMERS Capital Markets strives to achieve the highest, most consistent returns commensurate with the risk profile of the OMERS Fund and its other principal objectives. The OMERS Capital Markets' team is distinguished by its diversity in expertise and experience and its commitment to superior performance.  


SCOPE 

As a Student Analyst, Trading, at OMERS Capital Markets, you'll be part of a multi-asset class trading team, where you'll develop and grow your understanding of investment markets and the instruments used by portfolio managers across asset classes. Our culture is one of a kind. We get stuff done, and have fun doing it. We take great pride in contributing to the communities where we live.","RESPONSIBILITIES 

Developing trading analytics, tools and processes involving large data sets from a wide variety of sources, structuring a SQL database  
Communicating and working regularly with traders, portfolio managers, internal and external managers, and operations staff to gain a holistic view and context in developing applications 
Preparing reports, evaluations and analyses providing insight into the business of trading and investment execution decisions","QUALIFICATIONS  

Currently pursuing an undergraduate degree in Engineering, Computer Science, Math, Business or Economics 
Excellent programming skills including knowledge of VBA, SQL and Power BI (knowledge of other languages such as C# or Python is an asset) 
Experience working with data including strong knowledge of Excel and MatLab skills preferred 
Interest and knowledge of global financial and capital markets 
Strong oral and written communication skills and highly developed interpersonal and relationship management skills to communicate with leaders across Capital Markets 
Excellent analytical skills and a high attention to detail 

IMPORTANT: Application Instructions

To ensure your application is submitted to our applicant tracking system accurately, please follow the instructions below. 

Please include all required documents (Resume, Cover Letter, Unofficial Transcript, etc.) in one combined file. Your application may be submitted in PDF of Microsoft Word format.","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Quality Assurance 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Insurance and Risk Management 
				
			
				ARTS - Business
				
			
				ARTS - Economics
				
			
				MATH - Applied Mathematics
				
			
				MATH - Business
				
			
				MATH - Combinatorics and Optimization
				
			
				MATH - Computer Science
				
			
				MATH - Computing and Financial Management
				
			
				MATH - Pure Mathematics
				
			
				MATH - Statistics and Actuarial Science","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
7,222527,"

										NEW
									


										Student, Portfolio Analytics
									

",OMERS,Toronto Office,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",5,"
								Sep 21, 2021
								
							",4 month work term,"Why join us?

Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor?    If so, we would love to tell you our story. 

  

At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe.  Our culture is truly one of a kind. We get stuff done, and have fun doing it!  We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets. 

Are you ready to unleash your potential and join a high-performing team of investment professionals who value hard work, fun and camaraderie? As a Student Analyst, Portfolio Analytics, at OMERS Capital Markets, you will be part of a team of investment professionals that are building a world-class portfolio analytics platform. If you are passionate about data management and analytics and enjoy working with large amounts of data, we want to hear from you!","At OMERS, you can expect:

- Collaboration with colleagues and leaders who offer diverse experiences and expertise in a supportive environment 

- The opportunity to develop and grow your investment expertise while being a part of an engaged team of investors committed to meeting the pension promise 

- Ongoing learning, mentorship and networking opportunities 


As a member of this team, you will be responsible for:

- Develop and implement quantitative analytical tools involving large amounts of data from a wide spectrum of data types 

- Develop tools to help mathematically model an array of security types (bonds, swaps and derivatives) 

- Deliver the analytic result in simple and convenient visualization 

- Work closely with colleagues across Capital Markets, specifically the credit and risk management teams","To succeed in this role, you have:

- Enrolled in an undergraduate or graduate degree program in computer science, math or business 

- Strong academic track record combined with extra-curricular experience 

- Strong programming skills, with experience in Python preferred 

- Intermediate financial modeling skills (regression and numerical solution of differential equations) 

- A creative and enquiring mind 

- Good communication skills, team working ability and integrity 

- Html/SQL experience is an asset","Targeted Clusters
			

		
		
			
				- Theme - Accounting and Financial Auditing
				
			
				- Theme - Business Administration
				
			
				ARTS - Business
				
			
				ARTS - Economics
				
			
				MATH - Applied Mathematics","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
8,222592,"

										NEW
									


										Student, Cross Asset Strategy
									

",OMERS,Toronto Office,2,Open for Applications,Toronto,"Intermediate, Senior",0,"
								Sep 21, 2021
								
							",8 month consecutive work term preferred,"Why join us?

Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor?    If so, we would love to tell you our story. 

  

At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe.  Our culture is truly one of a kind. We get stuff done, and have fun doing it!  We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets. 

As a member of this team, you will be responsible for: 


-Develop and maintain analytical tools to help model and visualize portfolio holdings and market data 


-Work with reporting to deliver the analytic result in simple and convenient visualization 


-Proactively identify operational risks or control deficiencies in the current process, and propose solutions 


-""What-if"" analysis for portfolio holdings-Access a wide spectrum of data types though various forms of database 


-Support and contribute to strategic projects or initiatives through material creation","As a member of this team, you will be responsible for:

-Develop and maintain analytical tools to help model and visualize portfolio holdings and market data 

-Work with reporting to deliver the analytic result in simple and convenient visualization 

-Proactively identify operational risks or control deficiencies in the current process, and propose solutions 

-""What-if"" analysis for portfolio holdings-Access a wide spectrum of data types though various forms of database 

-Support and contribute to strategic projects or initiatives through material creation","To succeed in this role, you have:

-Enrolled in an undergraduate or graduate degree program in computer science, math, economics or finance 

-Strong academic track record combined with extra-curricular experience 

-Passion for financial markets and investments 

-Basic understanding of financial instruments 

-Strong data analytics skills 

- A creative and enquiringly mind 

-Good communication skills, team working ability and integrity 


Must have skillset:

-Microsoft suite 


Valuable experience:

-Experience working with SQL database 


Asset: 

-Python -Power BI-CFA exam completion","Targeted Clusters
			

		
		
			
				- Theme - Accounting and Financial Auditing
				
			
				- Theme - Business Administration
				
			
				- Theme - Computing: Information Systems 
				
			
				ARTS - Business
				
			
				ARTS/MATH - Finance
				
			
				MATH - Applied Mathematics
				
			
				MATH - Business
				
			
				MATH - Combinatorics and Optimization
				
			
				MATH - Computer Science
				
			
				MATH - Computing and Financial Management
				
			
				MATH - Pure Mathematics
				
			
				MATH - Statistics and Actuarial Science","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
9,222700,"

										NEW
									



										Student, Global Equities
									


",OMERS,Toronto Office,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",10,"
								Sep 21, 2021
								
							",4 month work term,"Why join us?

Are you looking to join a dynamic pension plan that embodies the strong values of its 500,000 members and is an industry leading global investor?    If so, we would love to tell you our story. 

  

At OMERS we put our people first and are proud to embrace the diversity of thought and leadership that comes from having locations in Toronto, London, New York, Singapore, Sydney and other major cities across North America and Europe.  Our culture is truly one of a kind. We get stuff done, and have fun doing it!  We take great pride in contributing to the communities where we live with an ever-constant eye to the global investment markets. 


Are you looking to join a leading global investor? 


As a member of the Global Equities team at OMERS Capital Markets, you will be working on a team that manages over $15 billion on behalf of OMERS members. The team employs a fundamental investment process incorporating bottom-up and top-down analysis to identify high quality businesses trading at reasonable valuations with a focus on mitigating the risk of permanent capital impairment, while generating the returns required of the program. Our culture is one of a kind. We get stuff done, and have fun doing it. We take great pride in contributing to the communities where we live.","At OMERS, you can expect:

Collaboration with colleagues and leaders who offer diverse experiences and expertise in a supportive environment
The opportunity to develop and grow your investment expertise while being a part of an engaged team of investors committed to meeting the pension promise
Ongoing learning, mentorship, and networking opportunities

Responsibilities:

Conduct company research and analysis under the direction of the analyst team
Research industry trends and key events, including performance of industry peers
Perform financial analysis combined with sustainable investment analysis, update and maintain financial models to support business valuations
Attend company or industry meetings to support the analyst team
Assist in drafting presentations for investment recommendations
Write research notes and reports based on analyst team's requests","Qualifications:

Currently pursuing an undergraduate degree in Business, Math, Computer Science, Engineering or Economics
Strong academic track record combined with extra-curricular experience
Commitment to learning and intellectual curiosity, with a passion for investing
Strong analytical and quantitative skills
Research and problem-solving skills, with a high level of attention to detail
Ability to produce clear, logical and convincing arguments and explain complex ideas simply
Proven ability to work in a fast-paced environment while managing multiple priorities and timelines
Excellent interpersonal skills and a commitment to be a team player
Highly proficient in Microsoft Office applications, specifically Excel and PowerPoint
Knowledge of programming skills (Python, Java) a benefit

IMPORTANT: Application Instructions

To ensure your application is submitted to our applicant tracking system accurately, please follow the instructions below. 

Please include all required documents (Resume, Cover Letter, Unofficial Transcript, etc.) in one combined file. Your application may be submitted in PDF of Microsoft Word format.","Targeted Clusters
			

		
		
			
				- Theme - Accounting and Financial Auditing
				
			
				- Theme - Business Administration
				
			
				- Theme - Computing: Hardware
				
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Quality Assurance 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Computing: Systems Security and Cryptography 
				
			
				- Theme - Data Analytics, Statistical Analysis and Mathematical Optimization 
				
			
				ARTS - Business
				
			
				ARTS - Economics
				
			
				MATH - Applied Mathematics
				
			
				MATH - Business
				
			
				MATH - Combinatorics and Optimization
				
			
				MATH - Computer Science
				
			
				MATH - Computing and Financial Management
				
			
				MATH - Pure Mathematics
				
			
				MATH - Statistics and Actuarial Science","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
