,ID,Job Title,Organization,Division,Openings,Internal Status,City,Level,Applications,App Deadline,Work Term Duration,Job Summary,Job Responsibilities,Required Skills,Targeted Degrees and Disciplines,Application Documents Required
0,224131,"

										NEW
									



										Developer Co-op (227118)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Mississauga,"Intermediate, Senior",2,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we connect Canadians to a world of possibilities and the memorable moments that matter most in their lives. Every day we wake up with one purpose in mind. To bring loved ones together from across the globe. To connect people to each other and the world around them. To help an entrepreneur realize their dream. A sports fan celebrate a special moment. 


Because we believe connections unite us, possibilities fuel us, and moments define us. 

  

As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are working from home, and are equipped to do so safely and efficiently.  

  

Start your career with a strong foundation and spend your Co-op work term with us! Our Co-op Program gives students the opportunity to be involved in meaningful projects, contribute real work, rewarding opportunities and learn from a diverse group of leaders. We are building for tomorrow and as we plan for the future to make more possible for all Canadians, we believe it starts with Students & New Grads from coast-to-coast-to-coast.  

  

At Rogers, your journey is filled with limitless possibilities; let's make your dream co-op placement possible. 


Together, we'll make more possible, and these six shared values guide and define our work: 
 

Our people are at the heart of our success
Our customers come first. They inspire everything we do
We do what's right, each and every day
We believe in the power of new ideas
We work as one team, with one vision
We give back to our communities and protect our environment","What you will do:
 

Design and implement low-latency, highly available and performing applications that scale.
Apply creative problem-solving skills to build out new features and iterate on existing features.
Build out REST API endpoints and lightweight aggregation layers.
Help define architectures and design patterns.
Build and maintain clean, simple and readable code with consistent naming convention.
Follow existing architecture and patterns.
Ability to learn quickly?and adapt to fast paced dynamic environment and technology stack.
Strong communication and interpersonal skills.
Can translate business goals into actionable work assignments with minimal direction.
Work closely with product, QA and UX teams to design the best solutions for our consumers.
Keeping up-to-date with industry trends and technology development.
Most importantly, team player!","What you will bring
 

Enrolled in an accredited co-op program working towards a degree or diploma in Computer Science or equivalent.
Proficiency in HTML/CSS/JavaScript, C#, ASP.Net, .Net Core and SQL.
Working experience with frameworks such as Bootstrap, React, Angular, TypeScript.
Comprehensive understanding in Object Oriented programming, multi threading and TCP/IP.
Experience building modern APIs.
Experience with version control software (VSTS, Git).
Ability to understand requirements and map to technical implementation.
Strong track record of shipping products.
Working experience with API Manager Platform like MuleSoft is nice to have.
Experience working in an Agile or Scrum development environment.
A mindset of creativity, innovation and energetic drive to succeed.","Targeted Clusters
			

		
		
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Software
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Mechanical and Mechatronics Engineering
				
			
				ENG - Software Engineering
				
			
				ENG - Systems Design and Biomedical Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
1,224138,"

										NEW
									



										Business &amp; Data Analyst (247326)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Brampton,"Junior, Intermediate, Senior",3,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we connect Canadians to a world of possibilities and the memorable moments that matter most in their lives. Every day we wake up with one purpose in mind. To bring loved ones together from across the globe. To connect people to each other and the world around them. To help an entrepreneur realize their dream. A sports fan celebrate a special moment. 


Because we believe connections unite us, possibilities fuel us, and moments define us. 

  

As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are working from home, and are equipped to do so safely and efficiently.  

  

Start your career with a strong foundation and spend your Co-op work term with us! Our Co-op Program gives students the opportunity to be involved in meaningful projects, contribute real work, rewarding opportunities and learn from a diverse group of leaders. We are building for tomorrow and as we plan for the future to make more possible for all Canadians, we believe it starts with Students & New Grads from coast-to-coast-to-coast.  

  

At Rogers, your journey is filled with limitless possibilities - let's make your dream co-op placement possible. 

  

About the Business Unit:  

The Network Development and Core Engineering organization in Technology.   

  

Reporting to the Business Manager with the Network Development and Core Engineering organization, within Technology. We are looking for a hands-on individual with a self-starting mind who isn't afraid to challenge BAU thinking. The right candidate will understand and demonstrate a passion for technology, know what products and services Rogers offers and firmly believes in excellence for the customer. 

  

The successful candidate will have the opportunity to see first-hand how Rogers' services, including the country's first and largest 5G network, operate today and continue to evolve to serve and delight Canadians.","What you will do… 
 

Understanding the department's role in Rogers' organization
Know the platforms and services managed by the department
Familiarize themselves with the structure of the teams - who does what
Familiarize themselves with the teams we collaborate with, including Engineering, IT, Consumer & R4B Products, Device, Projects, Operations, vendors/partners, etc.
Identifying Operational efficiencies through automation, waste-elimination, etc.
Explore new ideas and learn best practices in a fun, inclusive environment
Put your creative mind to work while you help the team solve problems and contribute to challenging, meaningful projects","What you will bring… 
 

Enrolled in an accredited co-op program working towards a degree in Telecommunications, Computer Science, Electronics, Engineering programs or equivalent
Certifications desirable: Lean Six Sigma, Cisco, Microsoft, VMware, Python, Scripting, etc.
Strong communication skills, fluent in English, French or both
Great inter-personal skills
Team-player as well as demonstrated Leader
Possesses thirst for finding answers to get the job done
Demonstrated excellence in delivering outcomes that delight the customer","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				- Theme - Computing: Quality Assurance 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Data Analytics, Statistical Analysis and Mathematical Optimization 
				
			
				- Theme - Information Science and Data Management 
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Management Sciences
				
			
				ENG - Software Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
2,224143,"

										NEW
									



										Project Management Co-op (248245)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Brampton,"Junior, Intermediate, Senior",7,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we connect Canadians to a world of possibilities and the memorable moments that matter most in their lives. Every day we wake up with one purpose in mind. To bring loved ones together from across the globe. To connect people to each other and the world around them. To help an entrepreneur realize their dream. A sports fan celebrate a special moment. 


Because we believe connections unite us, possibilities fuels us, and moments define us. 


  

We know finding a new job after graduation can be daunting and we want to help you better prepare. We are recruiting students into our Technology Demand Management offices for the winter co-op term.  You'll gain direct experience in the area of capital budget management, project management and demand management, leveraging your educational background and skills to help move our business forward.?  

Throughout the term, you'll have exposure to business leaders and subject matter experts to learn from them.  Meaningful assignments will also help to foster your potential. You'll be paired with a support structure who will work with you to maximize your learning experiences during your stay at Rogers.  In addition, you can gain valuable insight into the very popular Rogers New Grads Leadership Development Program should you later be interested in applying at your final year of study.","What you will do… 

•    Support the Implementation Planning, Execution and Closure of Technology projects dealing with the introduction of new services, lifecycle changes of existing services, new platforms, capacity augmentations, software & hardware upgrades, Network Function Virtualization deployments, optimization, and redundancy enhancements.  

•    Monitor and track the project milestones to accurately reflect project status. 

•    Provide Technology Capital Investment Program Budget consolidation, analysis, reporting and communication 

•    Compile and communicate Project/Program Status reports and decks to stakeholders. 

•    Track risks, issues, progress, action, decisions and manage project/portfolio and activities completion","What you will bring…  

•    Enrolled in an accredited co-op program working towards a degree in Computer Science, Business, Engineering or equivalent  

•    Passionate about deployment of new 5G technology solutions, cloud native technologies, automation, software upgrades and infrastructure augmentations.  

•    knowledge of MS Office suite - pivot table, formulas, and macros for Excel; SharePoint and Jira experiences would be an asset 

•    Good verbal, written and interpersonal communication skills  

•    Ability to work on multiple projects concurrently and prioritize tasks","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Software
				
			
				ARTS - Business
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Management Sciences
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
3,224146,"

										NEW
									



										Mobile Developer Co-op (247848)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",4,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we connect Canadians to a world of possibilities and the memorable moments that matter most in their lives. Every day we wake up with one purpose in mind. To bring loved ones together from across the globe. To connect people to each other and the world around them. To help an entrepreneur realize their dream. A sports fan celebrate a special moment. 


Because we believe connections unite us, possibilities fuel us, and moments define us. 

  

As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are working from home, and are equipped to do so safely and efficiently.  

  

Start your career with a strong foundation and spend your Co-op work term with us! Our Co-op Program gives students the opportunity to be involved in meaningful projects, contribute real work, rewarding opportunities and learn from a diverse group of leaders. We are building for tomorrow and as we plan for the future to make more possible for all Canadians, we believe it starts with Students & New Grads from coast-to-coast-to-coast.  

  

At Rogers, your journey is filled with limitless possibilities; let's make your dream co-op placement possible. 


Together, we'll make more possible, and these six shared values guide and define our work: 
 

Our people are at the heart of our success
Our customers come first. They inspire everything we do
We do what's right, each and every day
We believe in the power of new ideas
We work as one team, with one vision
We give back to our communities and protect our environment

About the Team:

Do you love mobile, streaming video, and online radio? Do you catch up on sports scores while on the go? We are looking for talented individuals to join our exciting team at Rogers Digital Media. Our team is responsible for the apps, sites, and platforms behind some of Canada's most influential media brands including Sportsnet, Citytv, 680 News, and CityNews.  

  

We are currently seeking developer interns to work within our development team. Successful candidates will be responsible for development tasks on our iOS and Android apps across all of our brands. You will work closely with a lead developer to implement features and functionality to support our Television and Radio business.","What you will be doing
 

Create mobile applications according to given requirements and wireframes 
Work with a lead developer to provide estimates and status updates 
Collaborate with other members of the team on larger tasks 
Work with both external vendors and the web development team to integrate with back-end feeds and APIs. 
Write some technical specifications when required","What you will bring
 

Enrolled in an accredited co-op program working towards a degree in Computer Science or Software Engineering 
Software development experience in either a work term or volunteer environment 
Experience with Objective-C, Swift, Java or Kotlin
Experience with RESTFul services
Experience with Git or other SCM 
Excellent communication skills with the ability to articulate technical solutions 
The ability to take direction and report on current status 
A self-starter with the ability to pick things up quickly","Targeted Clusters
			

		
		
			
				- Theme - Computing: Software
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Software Engineering
				
			
				ENG - Systems Design and Biomedical Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
4,224151,"

										NEW
									



										Network Engineering Co-op (248793)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Brampton,"Junior, Intermediate, Senior",3,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we're for supporting you on a journey to a rewarding career. Whether you're a developer, an analyst, or a customer care consultant, Rogers is the place where ideas become reality. We embrace change and find ways to do better. And we deliver on that commitment by fostering an environment of passion and innovation for all people. 

  

As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are temporarily working from home. 

  

Start your career with a strong foundation and spend your Co-op work term with us! Our Co-op Program gives students the opportunity to be involved in meaningful projects, contribute real work, rewarding opportunities and learn from a diverse group of leaders. We are building for tomorrow and as we plan for the future to make more possible for all Canadians, we believe it starts with Students & New Grads from coast-to-coast-to-coast.  

At Rogers, your journey is filled with limitless possibilities - let's make your dream co-op placement possible. 

  

About the Team: 

Rogers Network is seeking a co-op student to join the Network Planning team.  The team is responsible for network video planning. The successful candidate will assist with the data consolidation, reconciliation, analysis, and reporting activities.  The role will provide an opportunity to learn about the Network organization from core planning and performance reporting while contributing to the improvement of data accuracy and reporting.","What you will do…
 

Extract, consolidate and reconciliate of data from various sources to create both summary and detailed variance and trend reports.
Automating technology and Business models using Excel, 
Performing Unit cost analysis and comparison
Analyzing the data, provide the insights, business impacts and opportunities","What you will bring… 
 

Enrolled in an accredited co-op program working towards a degree in Computer Science, Business, or Engineering
Detailed oriented with a passion for data analysis and integrity.
Possess strong MS Excel, with knowledge of macros
Experience using Python for data aggregation
Strong listening and communication skills 
Critical thinking skills
A mindset of creativity, innovation and energetic drive to succeed","Targeted Clusters
			

		
		
			
				- Theme - Computing: Quality Assurance 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Information Science and Data Management 
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Management Sciences
				
			
				ENG - Software Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
5,224153,"

										NEW
									



										Network Engineering Co-op (248296)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Brampton,"Junior, Intermediate, Senior",4,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we're for supporting you on a journey to a rewarding career. Whether you're a developer, an analyst, or a customer care consultant, Rogers is the place where ideas become reality. We embrace change and find ways to do better. And we deliver on that commitment by fostering an environment of passion and innovation for all people. 

  

As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are temporarily working from home. 

  

Start your career with a strong foundation and spend your Co-op work term with us! Our Co-op Program gives students the opportunity to be involved in meaningful projects, contribute real work, rewarding opportunities and learn from a diverse group of leaders. We are building for tomorrow and as we plan for the future to make more possible for all Canadians, we believe it starts with Students & New Grads from coast-to-coast-to-coast.  

At Rogers, your journey is filled with limitless possibilities - let's make your dream co-op placement possible. 

About the Team: 

Rogers Network is seeking a Co-op student to join the Network Capacity Planning team. The team is responsible for Capacity Planning of IP & Voice Networks and accountable for Forecasting, Budgeting and planning the deployment of year over year network capacity. The successful candidate will assist with planning activities that will also involve data analysis and capacity performance bench marking. The role will provide a direct opportunity to learn about and gain experience working on the planning of a complex heterogenous network catering to leading-edge technologies such as 5G.","What you will do… 

•    Develop capacity dimensioning models for IP Networks based on actual network performance   

•    Optimize voice network capacity in accordance with projected traffic and develop plans to implement 

•    Power BI for visualization of network traffic data, capacity requirements, cost reductions and budgets 

•    Project cost reporting and analysis.  

•    Creating and updating PowerPoint presentations for business cases 

•    Track the capacity utilization of Core IP Network Platforms and trigger augmentation plans 

•    Automating data extraction process using Python","What you will bring…  

•    Enrolled in an accredited co-op program working towards a degree in Electrical & Computer Engineering or Computer Science 

•    Detailed oriented with a passion for emerging network technologies and IP Networking 

•    Possess strong MS Excel, with knowledge of macros, MS Visio 

•    Experience using Python for data aggregation 

•    Strong listening and communication skills  

•    Critical thinking skills 

•    A mindset of creativity, innovation and energetic drive to succeed","Targeted Clusters
			

		
		
			
				- Theme - Computing: Quality Assurance 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Information Science and Data Management 
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Management Sciences
				
			
				ENG - Software Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
6,224157,"

										NEW
									



										Network Engineering Co-op (249037)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Brampton,"Junior, Intermediate, Senior",2,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we're for supporting you on a journey to a rewarding career. Whether you're a developer, an analyst, or a customer care consultant, Rogers is the place where ideas become reality. We embrace change and find ways to do better. And we deliver on that commitment by fostering an environment of passion and innovation for all people. 

  

As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are temporarily working from home. 

  

Start your career with a strong foundation and spend your Co-op work term with us! Our Co-op Program gives students the opportunity to be involved in meaningful projects, contribute real work, rewarding opportunities and learn from a diverse group of leaders. We are building for tomorrow and as we plan for the future to make more possible for all Canadians, we believe it starts with Students & New Grads from coast-to-coast-to-coast.   

At Rogers, your journey is filled with limitless possibilities - let's make your dream co-op placement possible. 

About the BU:  

The RFP Project Manager will occupy a critical position in which he/she will demonstrate leadership by ensuring that operational risks and gaps evident in RFP bid responses are appropriately captured and actioned with various teams in Network Operations and elsewhere. The focus of the role is to ensure that commitments made to the customer are met, and that necessary evolution of Rogers or partner capabilities (in order to meet said commitments), is handled formally, to best practice, and in good time.","What you will do… 

•    Maintain awareness of all in-progress standard and complex RFPs and work with the wider team to manage the risk register and develop risk mitigation plans 

•    Utilize formal stakeholder, communication, risk identification and management best practices to review non-standard requirements 

•    Communicate and report progress against identified gaps to various stakeholders utilizing both regular formal and ad-hoc methods 

•    Develop strong, positive, cross organization relationships with internal groups, including Network Operations, and Product Management 

•    Provide Subject Matter Expertise on the topics of Network Service Management, SLAs, MACDs & KPI reporting 

•    Support the team's goal of 100% on-time bid responses by managing RFP bid responses, collecting / writing responses and developing detailed implementation / migration plans as required","What you will bring…  

•    Enrolled in an accredited co-op program working towards a degree in Electrical Engineering, Electronic Engineering, Telecommunication Engineering or equivalent 

•    Experience in a technical lead or project management role is an asset 

•    Experience writing RFPs and/or contributing to RFP responses 

•    Core Competencies include Innovative and Forward thinking, Problem Solving abilities, and Adaptability. 

•    Passionate about new technology, networking, and collaboration. 

•    An open mind with the passion to learn. Critical thinking and a positive attitude. 

•    A mindset of creativity, innovation, and energetic drive to succeed  

•    Organizational savvy with exceptional partnering skills and good relationships across all functions 

•    Familiar with basic wired, wireless & cellular networking 

•    Familiarity with technical elements of Enterprise solutions in Rogers' Enterprise portfolio","Targeted Clusters
			

		
		
			
				- Theme - Computing: Quality Assurance 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Information Science and Data Management 
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Management Sciences
				
			
				ENG - Software Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
7,224159,"

										NEW
									



										Digital Analyst (247852)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",4,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we connect Canadians to a world of possibilities and the memorable moments that matter most in their lives. Every day we wake up with one purpose in mind. To bring loved ones together from across the globe. To connect people to each other and the world around them. To help an entrepreneur realize their dream. A sports fan celebrate a special moment. 


Because we believe connections unite us, possibilities fuel us, and moments define us. 

  

As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are working from home, and are equipped to do so safely and efficiently.  

  

Start your career with a strong foundation and spend your Co-op work term with us! Our Co-op Program gives students the opportunity to be involved in meaningful projects, contribute real work, rewarding opportunities and learn from a diverse group of leaders. We are building for tomorrow and as we plan for the future to make more possible for all Canadians, we believe it starts with Students & New Grads from coast-to-coast-to-coast.  

  

At Rogers, your journey is filled with limitless possibilities; let's make your dream co-op placement possible. 


Together, we'll make more possible, and these six shared values guide and define our work: 
 

Our people are at the heart of our success
Our customers come first. They inspire everything we do
We do what's right, each and every day
We believe in the power of new ideas
We work as one team, with one vision
We give back to our communities and protect our environment

About the Team: 

The Digital Data and Analytics (D&A) team plays a critical role in supporting digital operations to drive customers to our online platforms (web and mobile apps) for shopping, service, content, support, and connections. Research, studies, and insights from the team contribute hugely not only to cost savings and revenue generation, but also the better customer experience and brand loyalty.  Working with this team composed of top talents will develop your skills, broaden your experience, and help you build a rewarding career at Rogers. 

  

Reporting into the Sr. Manager Digital Analytics CH&R4B, the Analyst of Digital Data and Analytics CH will help identify, support, and monitor digital adoption across all channels.  The successful candidate will work closely with the broader D&A team to come up with insights to increase digital adoption for sales, service, and support transactions.  This role will require strong analytical skills, creative thinking, and sound business acumen. The candidate should also be able to take data insights and tell a story to make change.","Identify risks and opportunities to drive digital adoption of customer base for both brands: Rogers and Fido
Coordinate within the team to prepare ad hoc analysis, operations reviews, highlighting results and key stories for the leadership team
Organize analytical datasets for the advanced analytics team to consume and support big projects
Develop and maintain reports for performance tracking, PIRs of program launches, and decision making
Partner within other Digital teams (merchandise, operations, UX, support, etc.) to make change through data and analytical insights
Identify new business opportunities, product and service enhancements within strategic objectives and influences business decisions with senior management","Enrolled in an accredited co-op program working towards a degree in data science, math, stats, business or related field
Strong analytical skills, experience in statistical models and financial models an asset
Sound understanding of major analytics tools such as SAS, SQL server, Oracle developer, Python, etc. good experience with Oracle, Hadoop, Hive, Azure environment
Previous experience in technology, telecom, network, product and digital preferred
Quick, responsive, and comfortable working in highly deadline driven environments
Passionate about translating insights into actionable programs
Excellent written, verbal and presentation skills","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				- Theme - Data Analytics, Statistical Analysis and Mathematical Optimization 
				
			
				- Theme - Digital and Graphic Media; Web Site Design and Development 
				
			
				ARTS - Business
				
			
				ENG - Management Sciences
				
			
				ENG - Software Engineering
				
			
				MATH - Business
				
			
				MATH - Statistics and Actuarial Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
8,224167,"

										NEW
									



										Network Engineering Co-op (249046)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Brampton,"Junior, Intermediate, Senior",2,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we're for supporting you on a journey to a rewarding career. Whether you're a developer, an analyst, or a customer care consultant, Rogers is the place where ideas become reality. We embrace change and find ways to do better. And we deliver on that commitment by fostering an environment of passion and innovation for all people. 

  

As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are temporarily working from home. 

  

Start your career with a strong foundation and spend your Co-op work term with us! Our Co-op Program gives students the opportunity to be involved in meaningful projects, contribute real work, rewarding opportunities and learn from a diverse group of leaders. We are building for tomorrow and as we plan for the future to make more possible for all Canadians, we believe it starts with Students & New Grads from coast-to-coast-to-coast.  

At Rogers, your journey is filled with limitless possibilities - let's make your dream co-op placement possible. 

About the BU:  

The RFP Project Manager will occupy a critical position in which he/she will demonstrate leadership by ensuring that operational risks and gaps evident in RFP bid responses are appropriately captured and actioned with various teams in Network Operations and elsewhere. The focus of the role is to ensure that commitments made to the customer are met, and that necessary evolution of Rogers or partner capabilities (in order to meet said commitments), is handled formally, to best practice, and in good time.","What you will do… 

•    Maintain awareness of all in-progress standard and complex RFPs and work with the wider team to manage the risk register and develop risk mitigation plans 

•    Utilize formal stakeholder, communication, risk identification and management best practices to review non-standard requirements 

•    Communicate and report progress against identified gaps to various stakeholders utilizing both regular formal and ad-hoc methods 

•    Develop strong, positive, cross organization relationships with internal groups, including Network Operations, and Product Management 

•    Provide Subject Matter Expertise on the topics of Network Service Management, SLAs, MACDs & KPI reporting 

•    Support the team's goal of 100% on-time bid responses by managing RFP bid responses, collecting / writing responses and developing detailed implementation / migration plans as required","What you will bring…  

•    Enrolled in an accredited co-op program working towards a degree in Electrical Engineering, Electronic Engineering, Telecommunication Engineering or equivalent 

•    Experience in a technical lead or project management role is an asset 

•    Experience writing RFPs and/or contributing to RFP responses 

•    Core Competencies include Innovative and Forward thinking, Problem Solving abilities, and Adaptability. 

•    Passionate about new technology, networking, and collaboration. 

•    An open mind with the passion to learn. Critical thinking and a positive attitude. 

•    A mindset of creativity, innovation, and energetic drive to succeed  

•    Organizational savvy with exceptional partnering skills and good relationships across all functions 

•    Familiar with basic wired, wireless & cellular networking 

•    Familiarity with technical elements of Enterprise solutions in Rogers' Enterprise portfolio","Targeted Clusters
			

		
		
			
				- Theme - Computing: Quality Assurance 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Information Science and Data Management 
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Management Sciences
				
			
				ENG - Software Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
9,224168,"

										NEW
									



										Mobile App Developer (247851)
									


",Rogers Communications Inc,Organization Development,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",4,"
								Sep 21, 2021
								
							",4 month work term,"At Rogers, we connect Canadians to a world of possibilities and the memorable moments that matter most in their lives. Every day we wake up with one purpose in mind. To bring loved ones together from across the globe. To connect people to each other and the world around them. To help an entrepreneur realize their dream. A sports fan celebrate a special moment. 


Because we believe connections unite us, possibilities fuel us, and moments define us. 

  

As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are working from home, and are equipped to do so safely and efficiently.  

  

Start your career with a strong foundation and spend your Co-op work term with us! Our Co-op Program gives students the opportunity to be involved in meaningful projects, contribute real work, rewarding opportunities and learn from a diverse group of leaders. We are building for tomorrow and as we plan for the future to make more possible for all Canadians, we believe it starts with Students & New Grads from coast-to-coast-to-coast.  

  

At Rogers, your journey is filled with limitless possibilities; let's make your dream co-op placement possible. 


Together, we'll make more possible, and these six shared values guide and define our work: 
 

Our people are at the heart of our success
Our customers come first. They inspire everything we do
We do what's right, each and every day
We believe in the power of new ideas
We work as one team, with one vision
We give back to our communities and protect our environment

About the Team:

Come play a key role in building the future of Digital! Everyone wants to be part of a transformational team, and that's exactly what we're building at Rogers Digital. A team that innovates and a team that wins. At Rogers Digital we are committed to creating and growing teams that are digital-first, fast-moving and bold-thinking and are focused on delivering impact with everything they do. Not only is our business strong, but so is our culture. We genuinely care about each other and working in an environment that allows each of us to bring our best authentic selves to work. That starts with our firm commitment to a diverse, inclusive and safe workplace.  

  

Do you live and breathe Mobile App? Are you that person who sees opportunity everywhere for digital technology to improve experiences? We want your skills and experience. We strongly value deep technical skills, willingness to learn, and desire to work in an intensive, highly productive environment. 

  

We're looking for a Mobile App Developer to join the team who is passionate for coding iOS or Android applications. You'll work alongside skilled App developers, User Experience (UX), Product Owners and other teams to create high quality mobile applications (Rogers & Fido) for our digital platform.","What you will be doing
 

Maintain and improve high quality, UX rich mobile applications for iOS or Android platforms existing in market apps
Optimizing applications for performance and memory usage
Write reliable, well-structured and testable code
Participate in regular code reviews
Communicate with the product team to design new features and provide updates on development progress
Participate in Agile ceremonies (Daily scrums, backlog grooming, sprint planning, etc)
Keeping up with the latest trends in the mobile industry
Prepare documentation as needed","What you will bring
 

Enrolled in an accredited co-op program working towards a degree in Engineering, Computer Science, or a related field
Experience creating native iOS (Swift) applications/frameworks
Experience creating native Android (Java and/or Kotlin) applications/frameworks 
Knowledge of object-oriented languages and of mobile design patterns 
Understanding of API specs (REST APIs, Microservices)","Targeted Clusters
			

		
		
			
				- Theme - Computing: Software
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Software Engineering
				
			
				ENG - Systems Design and Biomedical Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
