,ID,Job Title,Organization,Division,Openings,Internal Status,City,Level,Applications,App Deadline,Work Term Duration,Job Summary,Job Responsibilities,Required Skills,Targeted Degrees and Disciplines,Application Documents Required
0,187592,"

										NEW
									



										Coordinator, Social Impact
									



",RBC Financial Group,Technology & Operations,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",17,"
								Jan 19, 2021
								
							",4 month work term,"Interested applicants must apply through WaterlooWorks and directly to the employer to be considered for this position (see ""Additional Application Information"" section).

What is the opportunity?
The summer student will join the Social Impact team to advance the community investment strategies of the RBC Foundation. Focusing on the environment and diversity & inclusion (D&I), two priority areas for Corporate Citizenship and RBC, the role will support the review of donation applications, conduct research and analysis related to RBC Tech for Nature and D&I, and plan events and meetings with internal and external partners. The role will also support our donation management platform, the Social Impact Hub, and create learning and reference materials that will enhance the user experience.","What will you do?

Support RBC Tech for Nature, RBC's strategy for environmental donations. Key tasks will include assisting in the development and launch of a partner summit that will be held in September 2021, including working closely with internal and external partners to create an engaging conference agenda and content.
Support RBC Foundation's impact measurement strategies and tools.
Support the effectiveness of the Social Impact Hub, including the creation of new training materials and helping manage the support mailbox.
Coordinate D&I-related activities with internal and external partners, including planning activities for National Indigenous History Month (June 2021)
Review donation proposals across key portfolios for the RBC Foundation","What do you need to succeed?
Must-have

Research and analytical skills
Time management skills
Keen attention to detail
Strong communication skills - oral and written

Nice-to-have


Sustainability and/or diversity & inclusion subject matter knowledge
Experience in the non-profit sector
Graphic design skills
Event coordination experience","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				- Theme - Digital and Graphic Media; Web Site Design and Development 
				
			
				- Theme - Marketing and Communication 
				
			
				- Theme - Professional and Technical Writing 
				
			
				ARTS - Business
				
			
				ARTS - Economics
				
			
				ARTS - English Language and Literature
				
			
				ARTS - Global Business and Digital Arts
				
			
				ARTS - Humanities
				
			
				ARTS/MATH - Finance
				
			
				MATH - Applied Mathematics
				
			
				MATH - Business","University of Waterloo Co-op Work History,Résumé,Grade Report"
1,187595,"

										NEW
									



										Coordinator, Corporate Citizenship
									



",RBC Financial Group,Technology & Operations,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",10,"
								Jan 19, 2021
								
							",4 month work term,"Interested applicants must apply through WaterlooWorks and directly to the employer to be considered for this position (see ""Additional Application Information"" section).

What is the opportunity?
The Corporate Citizenship team exists to help RBC have a positive social and environmental impact and to help build RBC's brand and reputation. The Citizenship Engagement centre of expertise helps employees become better citizens, by providing global infrastructure and programs that enable employees to volunteer as individuals and teams, donate through workplace giving , fundraise and participate to help bring RBC's vision of 'helping communities prosper' to life.  This position is responsible for operations, program execution, and general support.","What will you do?

Continue to improve the employee experience and connection to RBC's purpose through the RBC Employee Giving Campaign
	
Manage employee inquires and respond to employee volunteer/donation related questions
Manage the Campaign project plan


Campaign Reporting and Data Management: successfully manage all reporting functions for the RBC Employee Giving Campaign
	
Support on all required data information for all campaign functions (list generation, business function information, segmentation information, affinity group initiatives, etc.)


Working with the Senior Manager, maintain, enhance and create Campaign tools and toolkits, including guides, key messaging, templates, streamline processes for efficiency and operations guides
Manage survey and feedback mechanisms for cabinet, champions and all employees, working with Impact Measurement team
Create and manage all communication, volunteer and donor distribution lists
Manage and promote internal fundraising requests from employees across RBC including support, set up and toolkits
Manage inbound employee inquiries that arrive via email and telephone
Respond to or re-route employee posts on intranet sites
Manage and update intranet site with blogs, information and design for year round engagement
Manage translation requests for the Engagement team, book team meetings, provide budget tracking support
Support team with reporting needs as required","What do you need to succeed?
Must-have

Proven ability to collaborate with a range of people across the organization
Strong relationship management skills
Exceptional Excel and data analytics skills
Organizational and budget management skills
Operational Management experience/mindset

Nice-to-have


Building Partnerships with Stakeholders
Communication Skills - Written & Oral
Achievement Motivation
Collaboration
High attention to detail
Self-starter, independent worker","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				- Theme - Digital and Graphic Media; Web Site Design and Development 
				
			
				- Theme - Marketing and Communication 
				
			
				- Theme - Professional and Technical Writing 
				
			
				ARTS - Business
				
			
				ARTS - Economics
				
			
				ARTS - English Language and Literature
				
			
				ARTS - Global Business and Digital Arts
				
			
				ARTS/MATH - Finance
				
			
				MATH - Applied Mathematics
				
			
				MATH - Business","University of Waterloo Co-op Work History,Résumé,Grade Report"
2,187605,"

										NEW
									



										Corporate Communications Analyst
									



",RBC Financial Group,Technology & Operations,1,Open for Applications,Toronto,"Junior, Intermediate, Senior",14,"
								Jan 19, 2021
								
							",4 month work term,"Interested applicants must apply through WaterlooWorks and directly to the employer to be considered for this position (see ""Additional Application Information"" section).

What is the opportunity?
Are you interested in the opportunity to work as a Corporate Communications Analyst? You will be a member of RBC's global corporate communications team that is responsible for protecting and enhancing RBC's brand and reputation, and in engaging, informing and inspiring employees.","What will you do?

Gain insight and perspective into the financial services industry by sourcing and developing interesting and engaging content for RBC's internal and external communication channels
Leverage your creativity and innovative thinking by contributing to the planning and delivery of employee engagement activities, including: town halls, leadership forums, roundtables and other events
Build your network by supporting enterprise-wide signature initiatives including executing tactical plans for rolling out new Communications programs
Collaborate with team members during conferences, town halls, thought leadership events, etc.
Contribute to the success of the overall goals of the Brand, Marketing, Communications & Citizenship group, including supporting brand and sponsorship initiatives
Identify opportunities to improve and streamline current processes","What do you need to succeed?
Must-have

Currently enrolled in a Canadian post-secondary institution with a focus in marketing, communications, psychology, sociology, public relations or a related discipline
Currently enrolled in a post-secondary school and eligible to complete a work term
Communications, PR or Media Relations educational background preferred
Excellent interpersonal and highly developed communication skills (verbal and written)
Keen attention to detail with project management capabilities
Motivation and a strong desire to learn
Knowledge of and interest in both traditional and social media
Creativity, curiosity, collaborative and team-player mindset
Leadership acumen and a passion to apply it in a dynamic business environment
Able to work effectively and reliably under pressure
Strong MS Office skills ? Word, Outlook, Excel and PowerPoint
Creative and analytical thinker who is self-driven and capable of working in a fast paced environment

Nice-to-have


Previous Corporate Communications/Public Relations experience
Design skills
Demonstrated record of academic success with diverse range of extracurricular activities
Ability to communicate in a second language or more
Knowledge in data analytics and data visualization tools
Previous experience working in a corporate environment
Experience or understanding of creating and editing website content
Previous experience in a case competition or hackathon 
Adobe, Photoshop, virtual collaboration tools, video editing software, photography skills","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				- Theme - Digital and Graphic Media; Web Site Design and Development 
				
			
				- Theme - Marketing and Communication 
				
			
				- Theme - Professional and Technical Writing 
				
			
				ARTS - Business
				
			
				ARTS - Economics
				
			
				ARTS - English Language and Literature
				
			
				ARTS - Global Business and Digital Arts
				
			
				ARTS/MATH - Finance
				
			
				MATH - Applied Mathematics
				
			
				MATH - Business","University of Waterloo Co-op Work History,Résumé,Grade Report"
3,186844,"

										NEW
									



										Engineering Assistant - Vancouver
									



",RDH Building Science Inc,Head Office,1,Open for Applications,Burnaby,"Intermediate, Senior",10,"
								Jan 19, 2021
								
							",4 month work term,"RDH is an employee owned consulting firm with 250+ employees in nine offices throughout North America. Our core area of business is the integration of building science engineering, architecture, and construction management to optimize the performance of the building enclosure (walls, windows and roofs). Since our beginnings in 1997, we have become industry leaders in North America and continue to grow as we focus on technical excellence and delivering high-quality projects. We approach projects with a multi-faceted and distinctly advanced understanding of building enclosures.

Summary
Your responsibilities will be varied as is typical in a mid-size engineering office. Although it is difficult to identify which projects you will be working on at this time, we anticipate that your primary responsibilities will likely include assisting more senior staff. This role is based in our New Construction service area which includes Facade Structures. 

Our core areas of work include collaborating with design teams for new building construction projects, the forensic investigation and renewal of existing buildings, building asset management to assist building owners' with the long-term upkeep and efficient use of their facilities, and building science research to identify ways of improving our building stock.","Responsibilities
As an engineering co-op work term student at RDH you will work directly with the senior staff of the firm on a variety of projects. Specific tasks and responsibilities will include the following:
- Field review of building enclosure components for new construction and renewal projects.
- On-site performance testing of building enclosure assemblies, including air leakage and window water testing.
- Investigation of existing buildings, including visual review of as built conditions, documenting conditions via field notes, sketches, and photos, and providing recommendations for repair, renewal or rehabilitation.
- Design and implementation of building asset management programs.
- Research and testing in our in-house lab for new technologies and strategies for reducing energy consumption, optimizing resources, and improving durability of buildings.","We hire enthusiastic engineering students who have basic training in building science engineering (building science, structural and mechanical engineering, or architecture) along with some practical field experience in construction. We value innovative thinking, teamwork, and great communication skills. Most importantly, you must have a strong interest in the field of building science.","Targeted Clusters
			

		
		
			
				- Theme - Construction and Infrastructure Development 
				
			
				ENG - Civil, Environmental and Geological Engineering
				
			
				ENG - Mechanical and Mechatronics Engineering","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
4,188289,"

										NEW
									



										Rocket Avionics Simulation Intern
									



",Reaction Dynamics,Divisional Office,1,Open for Applications,Saint-Jean-sur-Richelieu,"Junior, Intermediate, Senior",23,"
								Jan 19, 2021
								
							",4 month work term,"We are looking for a talented intern to design a hardware-in-the-loop (HIL) tester for our avionics (rocket electronics) system. This system will allow us to test all of our avionics on the ground before flight and ensure that they not only work in isolation, but integrated as a system. 

You will be involved in the entire life cycle of this project, working with the project lead on the overall design and implementation while working hands-on to build and test the hardware.

You will be working with hardware that will go to space and your work will directly contribute to the launch of Canada's first orbital class rocket.","- Design software to model rocket flight paths based on avionics control signals
- Design software to simulate sensor feedback based on flight paths
- Write embedded code for signal processing and generation
- Develop requirements for HIL testing system hardware and software
- Design simulation architecture for HIL testing
- Design circuit boards and enclosures for test systems","- Familiarity with at least one high level language
- Familiarity with one or more of the following a plus
o Python
o C/C++
o MATLAB
- Experience with embedded systems (STM32, PIC) a plus
- Experience with PCB design
o Familiarity with Eagle/Kicad a plus
- Technical writing skills with Latex a plus
- Understanding of rocket fundamentals a plus
- Past experience with HIL testing a plus","Targeted Clusters
			

		
		
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Mechanical and Mechatronics Engineering","University of Waterloo Co-op Work History,Résumé,Grade Report"
5,188302,"

										NEW
									



										Rocket Test Site Software and Hardware Intern
									



",Reaction Dynamics,Divisional Office,1,Open for Applications,Saint-Jean-sur-Richelieu,"Junior, Intermediate, Senior",26,"
								Jan 19, 2021
								
							",4 month work term,"We are looking for a talented software/hardware intern to expand the functionality of our mission control suite for our current test site and future launch site. You will work with a project lead to define, design and implement software features to support test and launch objectives.

You will also be working to upgrade our current data acquisition system to support new testing setups. The systems you will be working on will directly support the launch of Canada's first orbital rocket.

The role involves a combination of office and site work, as you will also be responsible for assisting with engine test operations and maintaining the data acquisition systems at our test facility.","- Design software in Java and C++ to support data transfer and command handling for engine tests
- Write code in Python and JavaScript to visualize test data and control test operations
- Expand software feature sets to support launch operations
- Iterate on existing electrical hardware designs to support new test stands
- Maintain and upgrade electrical systems at the test site
- Participate in engine test operations (equipment setup, configuration and teardown)","- Familiarity with at least one high level language
- Familiarity with one or more of the following a plus
o Python
o Java
o C/C++
o Javascript
- Experience with server architecture fundamentals
- Experience with PLCs
- Experience with PCB design
o Familiarity with Eagle/Kicad a plus
- Technical writing skills with Latex a plus
- Electrical hardware design experience a plus
- Understanding of rocket fundamentals a plus","Targeted Clusters
			

		
		
			
				- Theme - Computing: Hardware
				
			
				- Theme - Computing: Information Systems 
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Mechanical and Mechatronics Engineering
				
			
				ENG - Software Engineering
				
			
				ENG - Systems Design and Biomedical Engineering","University of Waterloo Co-op Work History,Résumé,Grade Report"
6,188306,"

										NEW
									



										Mechanical Engineering Intern (Propulsion)
									



",Reaction Dynamics,Divisional Office,1,Open for Applications,Saint-Jean-sur-Richelieu,"Junior, Intermediate, Senior",43,"
								Jan 19, 2021
								
							",4 month work term,The company is actively building and testing rocket engines and we are looking for a talented engineering undergraduate to assist in preparing and conducting experimental tests for various propulsion technologies as well as design and manufacturing of mechanical components on the engine and test equipment.,"- Design propulsion systems and components that meet needs and requirements
- Conduct experiments methodically, analyse data, and interpret results
- Alter and modify designs to meet requirements and to eliminate malfunctions
- Prepare design and test reports and documentation","- Understanding of core concepts of design and manufacturing processes
- Familiarity with 3D CAD tools (NX, Autodesk Fusion360, etc.)
- Numerical modeling and analysis tools knowledge (Python, Excel, etc.)
- Technical writing skills with Latex and ability to communicate technical knowledge in a clear and understandable manner
- Resourcefulness, adaptability, and good learning capacity are necessary
- Understanding of core concepts, specifically, rocket propulsion and combustion a bonus","Targeted Clusters
			

		
		
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Mechanical and Mechatronics Engineering","University of Waterloo Co-op Work History,Résumé,Grade Report"
7,188314,"

										NEW
									



										Structures Intern - Mechanical Engineering
									



",Reaction Dynamics,Divisional Office,1,Open for Applications,Saint-Jean-sur-Richelieu,"Junior, Intermediate, Senior",25,"
								Jan 19, 2021
								
							",4 month work term,"The company is actively designing all the structural elements of the rocket, quickly moving toward manufacturing and testing. These include for example pressure vessels, airframes,thrust plates and interfaces, and composite materials are heavily used to help reduce mass. We are looking for a talented engineering undergraduate to assist in the design and analysis of the launch vehicle's structure, as well as support the incoming effort to manufacture, test and validate prototypes.","- Design structural systems and components that meet needs and requirements.
- Perform structural analysis of structures using standard engineering tools.
- Generate detailed drawings and coordinate manufacturing with suppliers and vendors.
- Prepare design and analysis reports and documentation.","- Understanding of core concepts of design and manufacturing processes
- Experience working with composite materials
- Familiarity with 3D CAD tools (NX preferred)
- Good understanding of structural analysis tools (NX/Simcenter Nastran preferred)
- Technical writing skills with Latex or Microsoft Word and ability to communicate technical knowledge in a clear and understandable manner
- Resourcefulness, adaptability, and good learning capacity are necessary
- Great knowledge of rocketry, and in particular launch vehicle's structure","Targeted Clusters
			

		
		
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Mechanical and Mechatronics Engineering
				
			
				ENG - Software Engineering
				
			
				ENG - Systems Design and Biomedical Engineering","University of Waterloo Co-op Work History,Résumé,Grade Report"
8,184306,"



										Software Developer | Hacker
									



",Red Canari Inc,Divisional Office,1,Open for Applications,Ottawa,"Junior, Intermediate, Senior",10,"
								Jan 19, 2021
								
							",4 month work term,"Software Developer | Hacker  
 
Red Canari is a Canadian cybersecurity consultancy focused on delivering high quality, high assurance cyber consultancy services to leading institutions.
 
We are world-renowned security researchers/hackers, who present proprietary projects on the world stage of cybersecurity including DEF CON and Black Hat. Our endeavour is to continuously redefine excellence in the field of information security.
 
We are fortunate to enjoy mutual commitment with a global base of anchor clients operating across several sectors - Aviation & Aerospace, Finance, Healthcare, Hi-tech, Governmental Departments and Military Commands.
 
We are have embarked on a highly ambitious growth plan catapulted by major wins with global clients. Our goal is to become an international leader in the cybersecurity domain. In consideration of the same, we are looking for a highly analytical and technical Software Developer who will drive excellence in execution and planning of software designs developments to maintain high quality automatization. If that sounds like you, read more about the Software Developer | Hacker role below and APPLY TODAY!","SOFTWARE DEVELOPER | HACKER
 
Responsibilities
 

Work closely with the cybersecurity team and managing directors to develop new software and improve existing software applications while maintaining understanding of relevant technological developments
Carry out detailed code reviews complying with coding standards
Experience testing applications with Dynamic Application Security Testing (DAST) techniques, manual processes, and automated tools.
Experience working with Windows or UNIX- based environments (i.e. Linux, BSD, etc.).
Knowledge of common networking concepts.
Knowledge of common web application (i.e. OWASP) and infrastructure-based vulnerabilities.
Experience with software development in one or more common languages such as JAVA, JavaScript, Python, .NET, etc.
Good written and spoken communication skills
Ensure consistent quality of all implemented designs and maintain business standards
Ability to execute well-designed and viable software applications and platforms
Internally and externally to develop and deliver technical systems
Initiate creative and innovative solutions while minimizing risks
Troubleshoot, investigate and resolve highly complex application defects to maintain automatization and code quality

 
Professional development activities include: 

 Writing security blog posts
Presenting at Security conference talk

 
Soft skills required: 

Take initiative on client projects and deliverables
Interface and communicate clearly with team members
Actively contribute and participate in community and corporate events
Represent and evangelize the corporation","Requirements 

Actively and independently involved in open-source projects.
Actively and independently or professionally involved in security testing (i.e. via Bug Bounties, corporate engagements, etc.).
Bachelor's degree in Computer Science or equivalent
Experience with React, NodeJS, Ant Design GraphQLPostgres, MySQL, (Hasura preferred) OAuth 2.0
Ability to draft system documentation and diagnose system, coding and infrastructure deficiencies
High performing technical skills with the ability to assess and suggest designs and solutions to address complex issues while adhering to strict deadlines
Strong analytical and rational decision-making skills with the ability to resolve issues with verifiable statistics, data, and resources
Knowledge of software engineering processes and best practices to successfully build processes for testing operations
Excellent written and oral communication skills to collaborate with teams, senior management, and stakeholders as well develop technical reports
Strategic and technical individual with demonstrated strong customer focus","Targeted Clusters
			

		
		
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Computing: Systems Security and Cryptography 
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Software Engineering
				
			
				MATH - Computer Science","University of Waterloo Co-op Work History,Résumé,Grade Report"
9,188653,"

										NEW
									



										Marketing Associate
									



",Red Canari Inc,Divisional Office,1,Open for Applications,Ottawa,"Junior, Intermediate, Senior",16,"
								Jan 19, 2021
								
							",4 month work term,"Red Canari is a Canadian cybersecurity consultancy focused on delivering high quality, high assurance cyber consultancy services.

We are fortunate to enjoy mutual commitment with a global base of anchor clients operating across several sectors - Aviation & Aerospace, Finance, Healthcare, Hi-tech, Governmental Departments and Military Commands. It is our privilege and honour to help our clients navigate the security landscape and exercise due care in order to achieve higher levels of cyber resiliency.

We are world-renowned security researchers/hackers, who present proprietary projects on the world stage of cybersecurity including DEF CON and Black Hat. Our endeavour is to continuously redefine excellence in the field of information security.

We're looking for someone who shares our passion for information security, a team player who loves to collaborate, a curious and creative mind that enjoys learning, and a trusted partner who wants to grow with us. If that sounds like you, read more about the Marketing Associate role and APPLY TODAY!","Conduct market research to collect, analyze and interpret data, SWOT analysis to aid in the development and growth of business
Compile and translate complex research data into simple graphs and text for presentations
Plan and execute initiatives to reach the target audience through appropriate channels
Create and update marketing items / publications that will be inserted as newsletter for corporate website, social media like twitter, LinkedIn and circulation to all major customers
Conduct outbound marketing activities by demonstrating expertise in various areas (content development and optimization, advertising, events planning etc.)
Liaise with external parties to execute promotional events and campaigns
Analyze marketing data such as campaign results, conversion rates, traffic etc. to help shape future marketing strategies
Undertake individual tasks of a marketing plan as assigned
Perform other relevant duties as assigned","Basic knowledge of computer security and vulnerabilities
Understanding of marketing elements (including traditional and digital marketing such as SEO/Social media etc.) and market research methods
Attention to detail and ability to do accurate data entry and analysis required
Previous experience in market research will be advantageous
Familiarity with quantitative and qualitative data collection
Strong analytical and critical thinking skills
Must be able to interact with end-users in a professional and service-centered manner
Solid computer skills, including MS Office, marketing software (CRM) and applications (Web analytics, Google AdWords etc.)
Exceptional communication and writing skills
Willing to learn

Security Clearance


Fulfill requirements to apply for SECRET level II","Targeted Clusters
			

		
		
			
				- Theme - Business Administration
				
			
				- Theme - Marketing and Communication 
				
			
				- Theme - Professional and Technical Writing 
				
			
				ARTS - Business","University of Waterloo Co-op Work History,Résumé,Grade Report"
