,ID,Job Title,Organization,Division,Openings,Internal Status,City,Level,Applications,App Deadline,Work Term Duration,Job Summary,Job Responsibilities,Required Skills,Targeted Degrees and Disciplines,Application Documents Required
0,185577,"



										Student Planner
									



",City of St Catharines,Municipal Office,1,Open for Applications,St. Catharines,"Intermediate, Senior",12,"
								Jan 19, 2021
								
							",4 month work term,Student Planner,"To research assigned projects for data relevant to community planning activities, including input and retrieval of data.
To assist in the preparation of reports, plan and policy proposals, with members of planning department staff.
To prepare reports with members of planning department staff on a variety of types of development applications (e.g. Committee of Adjustment, Design Review Panel, Heritage Permit, Niagara Escarpment Commission Permit).
To assist in the organization and preparation of material for required public meetings, including the preparation of graphic displays, public information documents and minutes.
To perform other office related duties, as assigned.","Students should be experienced in virtual meeting platforms, engaging with the public, data collection, and use of office software, such as Microsoft Office and Teams.
Experience and/or interest in development planning, land use policy, heritage conservation and research is beneficial.
Strong report writing skills are necessary.
Presentation and graphic design skills are desirable.
General knowleddge of the Planning Act is benficial.","Targeted Clusters
			

		
		
			
				- Theme - Architecture and Design
				
			
				- Theme - Construction and Infrastructure Development 
				
			
				- Theme - Visual, Urban & Industrial Design 
				
			
				ENG - Architectural Engineering
				
			
				ENG - Civil, Environmental and Geological Engineering
				
			
				ENV - Planning","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report,Other - Per Job Posting"
1,186774,"

										NEW
									



										Student Planner
									



",City of Waterloo,Development Services,1,Open for Applications,Waterloo,"Intermediate, Senior",63,"
								Jan 19, 2021
								
							",4 month work term,"The successful candidate will have involvement in, and have exposure to, a wide variety of special policy and development planning projects through work with both the Planning Approvals and Growth Management Divisions.","Growth Management Projects may include:

Land use policy reviews and Special Projects
Support and research for District Plan and Block Plan studies and reviews
Research for Official Plan Amendments
Heritage planning outreach
Housing related research
Report writing for special projects
Research for university and student housing related issues
Statistics collection, dissemination and analysis
Support for Official Plan and Regional Official Plan review
Zoning and special studies related research 

Planning and Approvals projects may include:

Support for and implementation of the City's new Zoning By-law
Preparing comments for Committee of Adjustment applications
Assisting with the processing and review of Official Plan amendments, Zoning By-law amendments, plans of subdivision and Site Plan applications
Attending to front counter and telephone inquiries regarding potential development proposals and zoning by-law interpretations
Research for special projects related to Urban Design
Mapping and graphics support for planning applications and the Urban Design Manual
Support for LPAT appeals 
Support for Committees, such as the Municipal Heritage Committee and Site Plan Review Committee","The candidate should have a strong working knowledge of computer applications, including Microsoft Office and GIS software. Providing assistance and information to the general public and development industry is essential to this position, as are strong customer service and communication skills.","Targeted Clusters
			

		
		
			
				- Theme - Construction and Infrastructure Development 
				
			
				- Theme - Sustainable Development
				
			
				ENV - Planning","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
2,185901,"



										Fleet Assistant
									



",City of Waterloo,Divisional Office,1,Open for Applications,Waterloo,Junior,9,"
								Jan 19, 2021
								
							",4 month work term,"A co-op opportunity exists for a student to support Fleet and Procurement Services by providing administrative support to support the ongoing Fleet Transformation initiatives through a variety of tasks, in compliance with City policies and procedures.  The successful candidate will be organized, detail oriented, and self-motivated.

This is a full-time position working 35 hours per week Monday to Friday from 7am - 3pm. This position is based out of the Waterloo Service Centre at 265 Lexington Court.","Provide support to the Fleet Coordinator, Fleet Supervisor and Director of Fleet & Procurement
Undertake a vehicle key inventory and coordinate secure key storage
Support transition to electronic filing system, including shredding and archiving paper records and scanning into electronic filing system
Data entry of fleet records and records management
Review and validate data as required
Assist with development of documents required to retain fleet suppliers
Document key fleet standard operating procedures and develop work flow charts
Support annual vehicle licensing
Provide administrative support duties to meet operational needs as required","Currently enrolled in a relevant post-secondary program
Proficient in the use of Microsoft Office (Word, Excel)  
Excellent interpersonal and communication skills to deal with customers and suppliers
Effective data entry skills with attention to detail and a high degree of accuracy
Ability to work in a team environment
Basic accounting skills are required for reconciliation of accounts
Ability to work in an environment with exposure to noise, heat, dust and fumes as found in a repair facility
A satisfactory Police Records Check will be required as a condition of hire","Targeted Clusters
			

		
		
			
				ARTS - Business","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
3,186759,"

										NEW
									



										Parks Administration Support and Event Bookings Assistant
									



",City of Waterloo,Divisional Office,1,Open for Applications,Waterloo,Junior,17,"
								Jan 19, 2021
								
							",4 month work term,"A co-op position exists for an individual to assist at Waterloo Park with events and bookings during summer.  Direction and supervision will be provided by the Administrative Assistant, Environment and Parks.","Assist with park bookings and event scheduling, respond to customer inquiries via email and telephone in a timely manner
Provide customer service to residents, rental groups and the community
Connect with minor sports groups when there are field delays/cancellations
Assist with planning, setup and execution of Environment and Parks Services events and initiatives (eg. Earth Day, Community Cleanup, Friends of Waterloo Park etc.)
Provide administrative support to the Environment and Parks team (scanning and filing)
Assist Environment and Parks Administrative Assistant with day to day administrative tasks
Assist department staff with the transition of department files to OpenText records management software
Catalogue, sort and name scanned documents within electronic storage program in accordance with approved protocols
Data entry
Other duties as assigned","1-2 years of related post-secondary education in a related field eg. Recreation and Leisure, Tourism, Event and Hospitality Management
Experience working in team-based event programs
Excellent interpersonal and written/verbal communication skills
Effective time management and organizational skills
Ability to organize work tasks with minimal direction
Ability to multitask, handle changing priorities and disruptions in an office environment
Demonstrated attention to detail
Ability to perform repetitive tasks
Proficiency with Microsoft Office
Experience using ActiveNet and OpenText would be considered an asset
Satisfactory police criminal and judicial matters check is required  

 
The City of Waterloo is an equal opportunity employer. Accommodations are available for all parts of the recruitment process. Applicants need to make their needs known in advance.","Targeted Clusters
			

		
		
			
				AHS - Recreation and Leisure Studies","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
4,185951,"



										Community Development Planning Assistant
									



",City of Windsor,Divisional Office,1,Open for Applications,Windsor,"Junior, Intermediate, Senior",18,"
								Jan 19, 2021
								
							",4 month work term,"We are looking for an eager and dedicated individual to join the City of Windsor's Planning Department. Windsor's Planning Department is comprised of professional staff that provides planning services in the areas of planning research & policy development, urban design, and community and economic development. It serves a community of more than 200,000 and is surrounded on three sides by neighbouring communities and the Detroit River to the north.

ORGANIZATION PROFILE: Windsor offers opportunity for recreational pursuits and easily accessible major sports, cultural, academic, and entertainment venues in metro-Detroit.","Under the supervision and direction of the Manager of Urban Design this position will assists with: research and technical support;  preparing reports on existing conditions of the city's physical environment; preparing display materials for public meetings and community exhibits; drafting communications for print and digital distribution; and, conducting research, interviews and fields questions from the public pertaining to community and economic development initiatives.","The successful applicant will have an excellent command of written and spoken English as well as strong interpersonal skills. The successful applicant is required to have a strong working knowledge of the Microsoft Office suite of products.
A proficiency in graphic software packages (Photoshop, InDesign, and SketchUp) will be considered an asset.
The applicant must have the ability to work flexible hours on occasion in order to attend public meetings and consultation sessions.
Examples of written and visual work are required at the interview stage.","Targeted Clusters
			

		
		
			
				- Theme - Sustainable Development
				
			
				ENV - Planning","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
5,185037,"



										Chiropractic Assistant
									



","CK Chiropractic, Accupuncture + Rehabilitation",Head Office,1,Open for Applications,North York,"Intermediate, Senior",33,"
								Jan 19, 2021
								
							",4 month work term,"The student will be assisting the chiropractor with:

greeting patients
bringing them into the room
assisting with electrical modalities; and
some patient education regarding posture and lifting.","Learn some administrative duties and will help in reception area when busy.
Ample opportunity to learn about chiropractic, needle acupuncture and how to run a chiropractic office.",Experience with personal training or exercise therapy would be an asset.,"Targeted Clusters
			

		
		
			
				- Theme - Health Care: Therapy and Patient Care 
				
			
				AHS - Kinesiology
				
			
				AHS - Public Health and Health Systems","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
6,183930,"

										NEW
									



										Digital Marketing Associate
									



",Clear Spider,Head Office,1,Open for Applications,Mississauga,"Junior, Intermediate, Senior",16,"
								Jan 19, 2021
								
							",4 month work term,"Are you passionate about what you do? Do you love design, writing, and marketing? Do you like bringing fresh ideas to the table, then making it all happen, and seeing how much of an impact it makes?

Clear Spider is looking for a highly creative individual to join our Marketing & Sales team as a Digital Marketing Co-op. You will work with marketers, salespeople, as well as software and website developers.

In this position, you will be engaged in key projects and initiatives to drive new revenues and improve marketing and sales processes. The prospective leads generated for the sales team include organizations of all sizes, from small businesses to Fortune 500 companies.

We are looking for somebody with a can-do attitude, someone who wants to be innovative, and will take the extra steps necessary to develop the best content and designs. We are looking for someone who wants to assist in crafting the overall marketing strategy for a business, and help see it through to get amazing results.

Clear Spider is an open and welcoming space. We value your creativity and we will give you the platform to showcase your talents and opportunities to develop your skill set and add to your portfolio as well. We encourage our co-ops to put together end of work term portfolios to showcase their work with us, and to take with them for future job searches.

Examples of past portfolios are linked here: https://bit.ly/CS_CoOpPortfolios.

We are open to 4 or 8 month co-op terms. Please state whether you are available for 4 or 8 months on your cover letter.","CORE RESPONSIBILITIES
 
As a Digital Marketing Co-op at Clear Spider, your core responsibilities include the following:

Clear Spider Online Presence and Content Creation
- Generate written and visual content for the clearspider.com website and blog
- Grow social media presence through Twitter, LinkedIn, Facebook, and Instagram
- Develop creative and engaging marketing and sales materials such as whitepapers, thought leadership articles, infographics, case studies, and online advertisements
- Strengthen the company's corporate brand by creating internal and external documents such as a branding packages, style guides, and marketing strategies
 
OTHER PROJECTS AND RESPONSIBILITIES
 
Depending on your skills and experience, as well as interest, there may be suitable projects in other areas of marketing as well:

- Marketing Data and Analytics (Google Analytics and SEO)
- Paid Search Strategy (ads on Google and Bing, ads on social media such as LinkedIn and Facebook)
- Website Improvements (Clear Spider homepage, landing pages, other webpages)
- Website Conversion Optimization (forms, chatbots, other conversion funnels)
- Increased Lead Generation (optimizing for quantity of organic and paid leads)
- Marketing Campaigns (develop digital marketing strategy and customer acquisition channels)
- Market Research (perform research and analysis to improve competitive positioning)","REQUIRED QUALIFICATIONS

- Co-op student in Marketing, Arts & Business, Communications, or Design
- Strong desire to learn about all aspects of B2B marketing
- Adobe Creative Suite (Illustrator, Photoshop)
- Google Suite (Docs, Sheets, Slides, Gmail)
- Strong performance working with others on group projects
- High quality and quantity of work in completing assigned tasks and individual projects

PREFERRED QUALIFICATIONS

- Experience in Marketing or Sales
- Wordpress, Blogging, Social Media Management
- Knowledge of Concepts in Operations, Inventory Management, and Supply Chain","Targeted Clusters
			

		
		
			
				- Theme - Digital and Graphic Media; Web Site Design and Development 
				
			
				- Theme - Marketing and Communication 
				
			
				- Theme - Sales and Business Development 
				
			
				- Theme - Supply Chain Management and Logistics 
				
			
				ARTS - Business
				
			
				ARTS - English Language and Literature
				
			
				ARTS - Global Business and Digital Arts
				
			
				ARTS - Humanities
				
			
				ARTS - Languages and Cultures","University of Waterloo Co-op Work History,Cover Letter,Résumé,Grade Report"
7,186269,"

										NEW
									


										Software Engineering
									


",Clearbanc,Divisional Office,5,Open for Applications,Toronto,"Intermediate, Senior",17,"
								Jan 19, 2021
								
							",4 month work term,"Clearbanc co-founders Michele Romanow and Andrew D'Souza knew there had to be a better way to fund your business than staking your house or sacrificing ownership of your company. 

Michele and Andrew deeply understand the pains of building a business; Michele bootstrapped five companies, one which was acquired by Groupon, and sits on the other side of the table as a judge on ""Dragon's Den,"" Canada's equivalent of ""Shark Tank."" Andrew, meanwhile, has raised hundreds of millions of dollars for multiple startups and is an investor and advisor to many others. 

They've seen the broken funding process from all sides, and the idea for Clearbanc was inspired by their own experiences and struggles building companies and working with other entrepreneurs. 

Clearbanc has invested in thousands of companies using data science to identify high-growth funding opportunities. This data-driven approach takes the bias out of decision making. Clearbanc has funded 8x more female founders than traditional VCs, and has invested in 43 states in the US in 2019.

WHY WORK WITH US?

We're a company built by founders for founders, and we're laser focused on our mission to help entrepreneurs succeed. You'll get the chance to work closely with people who have built, scaled and sold companies before. 
While we're obsessed with our vision, we don't take ourselves too seriously. We don't know all the answers, so we're constantly experimenting and learning together.

Clearbanc is going through an exciting growth phase. We've just closed a $300M round and we're looking for the right people to join #TeamClearbanc. This is a unique opportunity for an ambitious person looking to make an impact while getting exposure to fintech and learning what it takes to build a successful startup.","What your day-to-day will look like: 
- Creating new business solutions for our entrepreneurs
- Utilizing systems for onboarding customers
- Using data visualization and BI features (both internal and customer-facing) 
- Working on data integrations with third-party data sources
- Gathering technical requirements, software designs, development, QA and deployment
- Delivering working software in an agile environment with weekly sprints 
- Working on security including authentication, authorization, encryption etc.","You will thrive if you: 

- Believe that software is a team sport that requires discipline and accountability
- Are committed to communication through documentation, testing and pairing
- Think outside the box to come up with creative solutions to improve our systems and processes
- Are motivated with lots of initiative and hunger to learn 
- Work effectively with cross-functional teams to help with current products and the rollout of new products
- Are not afraid to take on new challenges
- Understand that we don't have all of the answers and are comfortable and able to seek out the answers yourself and ask for guidance as needed

Technical Requirements: 
- Vue.js (HTML, CSS, JavaScript) 
- Node.js (TypeScript) 
- Golang
- Google Cloud Platform
- Kubernetes
- PostgreSQL
- Kafka
- RabbitMQ
- Experience with our particular tool-belt is not necessary, but the ability to adapt to it quickly is.","Targeted Clusters
			

		
		
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Finance and Investment 
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Mechanical and Mechatronics Engineering
				
			
				ENG - Nanotechnology Engineering
				
			
				ENG - Software Engineering
				
			
				MATH - Computing and Financial Management","University of Waterloo Co-op Work History,Résumé"
8,186291,"


										Data Science
									


",Clearbanc,Divisional Office,3,Open for Applications,Toronto,"Intermediate, Senior",24,"
								Jan 19, 2021
								
							",4 month work term,"Clearbanc co-founders Michele Romanow and Andrew D'Souza knew there had to be a better way to fund your business than staking your house or sacrificing ownership of your company. 

Michele and Andrew deeply understand the pains of building a business; Michele bootstrapped five companies, one which was acquired by Groupon, and sits on the other side of the table as a judge on ""Dragon's Den,"" Canada's equivalent of ""Shark Tank."" Andrew, meanwhile, has raised hundreds of millions of dollars for multiple startups and is an investor and advisor to many others. 

They've seen the broken funding process from all sides, and the idea for Clearbanc was inspired by their own experiences and struggles building companies and working with other entrepreneurs. 

Clearbanc has invested in thousands of companies using data science to identify high-growth funding opportunities. This data-driven approach takes the bias out of decision making. Clearbanc has funded 8x more female founders than traditional VCs, and has invested in 43 states in the US in 2019.

WHY WORK WITH US?

We're a company built by founders for founders, and we're laser-focused on our mission to help entrepreneurs succeed. You'll get the chance to work closely with people who have built, scaled and sold companies before. 

While we're obsessed with our vision, we don't take ourselves too seriously. We don't know all the answers, so we're constantly experimenting and learning together.

Clearbanc is going through an exciting growth phase. We've just closed a $300M round and we're looking for the right people to join #TeamClearbanc. This is a unique opportunity for an ambitious person looking to make an impact while getting exposure to fintech and learning what it takes to build a successful startup.","The Data Team consists of Engineers and Scientists empowered to pursue Clearbanc's business objectives. We use Data Science and Machine Learning to provide data-driven solutions across the organization.

We value speed, responsibility, and independent thinking. Specifically, in the context of Data Science, this translates into assisting in conducting reproducible research that improves our business metrics, while being constrained by tight deadlines.

We are open to applicants from all walks of life, as long as you are willing to present a compelling case for the relevance of your core competencies to our business goals.

Fundamentally, we are looking for somebody who is excited about learning new things and exhibits a healthy amount of skepticism towards, well, just about everything.
While we will be there for you to help you grow, we also expect you to be comfortable working independently.

What your day-to-day will look like:
- Assisting in conducting reproducible research and iterate over machine learning pipelines to improve our business metrics while being constrained by tight deadlines
- Working with a team of data scientists to help transform complex data into meaningful conclusions in a digestible format
- Present data using data visualization techniques
-  Use Statistics and Data Science to provide data-driven solutions across the organization
- Collaborating with cross-functional teams","You will thrive if you:
- Are comfortable with SQL
- Can use Python, including pandas
- Had exposure to analysing data and conducting analyses
- Are familiar with common regression and classification algorithms
- Are familiar with the notions of variance and statistical significance
- Are comfortable with software engineering including cloud and code versioning","Targeted Clusters
			

		
		
			
				- Theme - Computing: Hardware
				
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Quality Assurance 
				
			
				- Theme - Computing: Software
				
			
				- Theme - Computing: Systems Security and Cryptography 
				
			
				- Theme - Data Analytics, Statistical Analysis and Mathematical Optimization 
				
			
				ENG - Architectural Engineering
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Mechanical and Mechatronics Engineering
				
			
				ENG - Software Engineering
				
			
				MATH - Computing and Financial Management","University of Waterloo Co-op Work History,Résumé"
9,186480,"

										NEW
									



										Revenue Analyst
									



",Clearbanc,Divisional Office,1,Open for Applications,Toronto,"Intermediate, Senior",4,"
								Jan 19, 2021
								
							",4 month work term,"Clearbanc co-founders Michele Romanow and Andrew D'Souza knew there had to be a better way to fund your business than staking your house or sacrificing ownership of your company. 

Michele and Andrew deeply understand the pains of building a business; Michele bootstrapped five companies, one which was acquired by Groupon, and sits on the other side of the table as a judge on ""Dragon's Den,"" Canada's equivalent of ""Shark Tank."" Andrew, meanwhile, has raised hundreds of millions of dollars for multiple startups and is an investor and advisor to many others. 

They've seen the broken funding process from all sides, and the idea for Clearbanc was inspired by their own experiences and struggles building companies and working with other entrepreneurs. 

Clearbanc has invested in thousands of companies using data science to identify high-growth funding opportunities. This data-driven approach takes the bias out of decision making. Clearbanc has funded 8x more female founders than traditional VCs, and has invested in 43 states in the US in 2019.

WHY WORK WITH US?

We're a company built by founders for founders, and we're laser-focused on our mission to help entrepreneurs succeed. You'll get the chance to work closely with people who have built, scaled and sold companies before. 

While we're obsessed with our vision, we don't take ourselves too seriously. We don't know all the answers, so we're constantly experimenting and learning together.

Clearbanc is going through an exciting growth phase. We've just closed a $300M round and we're looking for the right people to join #TeamClearbanc. This is a unique opportunity for an ambitious person looking to make an impact while getting exposure to fintech and learning what it takes to build a successful startup.","What your day-to-day will look like:
- Performing individualized, custom & ad hoc reporting, analysis & insights for stakeholders
- Maintaining, supporting and auditing sales tracking systems and reports to ensure data cleanliness and accuracy
- Ensure stakeholders have access to relevant data across several systems including but not limited to Google docs, Excel and Salesforce.com 
- Create Salesforce.com dashboards and reports to provide a 'visual' view of specific metrics.
- Support the development of companywide health metrics","You will thrive if you:
- Have experience using SQL and excel 
- Have Salesforce experience (an asset) 
- Enjoy math and numbers
- Can navigate through difficult conversations with professionalism and can maintain a calm and empathetic demeanour 
- Have excellent verbal and written communication 
- Are a go-getter who is hungry to learn
- Python experience (considered an asset)","Targeted Clusters
			

		
		
			
				- Theme - Accounting and Financial Auditing
				
			
				- Theme - Computing: Information Systems 
				
			
				- Theme - Computing: Systems Security and Cryptography 
				
			
				- Theme - Data Analytics, Statistical Analysis and Mathematical Optimization 
				
			
				- Theme - Finance and Investment 
				
			
				- Theme - Information Science and Data Management 
				
			
				- Theme - Sales and Business Development 
				
			
				ENG - Electrical and Computer Engineering
				
			
				ENG - Management Sciences
				
			
				ENV - Business, Enterprise and Development
				
			
				MATH - Combinatorics and Optimization
				
			
				MATH - Computer Science
				
			
				MATH - Computing and Financial Management","University of Waterloo Co-op Work History,Résumé,Other - Per Job Posting"
